Job Title,Company,Industry,City,Experience,Employment Type,Work Mode,Company Email,Description,Posted Date
Project Coordinator,ICICI Bank,Marketing & Advertising,Jaipur,5+ Years,Contract,On-site,careers@icicibank.com,Support various tasks across teams as required. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion.,2025-12-29
Supply Chain Analyst,ICICI Bank,Logistics,Gurgaon,0-1 Years,Part Time,Remote,careers@icicibank.com,Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management.,2025-11-28
Sales Manager,L&T,Education,Pune,5+ Years,Part Time,Hybrid,careers@l&t.com,Analyze market trends and customer needs. Negotiate contracts and maintain customer satisfaction. Develop sales strategies and manage client relationships. Achieve monthly targets and lead the sales team.,2026-01-14
Loan Officer,Apollo Hospitals,Construction,Bengaluru,5+ Years,Internship,Remote,careers@apollohospitals.com,Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards.,2025-11-24
Digital Marketing Executive,Infosys,Retail,Hyderabad,Fresher,Part Time,Hybrid,careers@infosys.com,Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards.,2025-12-24
Production Supervisor,Mahindra & Mahindra,Education,Pune,5+ Years,Part Time,Remote,careers@mahindra&mahindra.com,Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management.,2025-12-16
Civil Engineer,Apollo Hospitals,Marketing & Advertising,Gurgaon,3-5 Years,Contract,On-site,careers@apollohospitals.com,Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required.,2025-11-24
Assistant Professor,Infosys,Logistics,Hyderabad,3-5 Years,Part Time,On-site,careers@infosys.com,Support various tasks across teams as required. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion.,2025-11-25
Loan Officer,Apollo Hospitals,Logistics,Chennai,5+ Years,Contract,On-site,careers@apollohospitals.com,Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required.,2025-12-06
Data Analyst,Reliance Industries,Manufacturing,Nagpur,1-3 Years,Full Time,On-site,careers@relianceindustries.com,Implement data cleaning and transformation pipelines. Ensure data accuracy and maintain database integrity. Work with stakeholders to understand data requirements. Analyze large datasets to extract actionable insights.,2025-12-24
Production Supervisor,Wipro,IT Services,Chennai,0-1 Years,Part Time,Remote,careers@wipro.com,Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required.,2025-11-28
Project Coordinator,Reliance Industries,Marketing & Advertising,Pune,3-5 Years,Part Time,Hybrid,careers@relianceindustries.com,Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines.,2026-01-02
Teacher,Zomato,Logistics,Delhi,0-1 Years,Part Time,On-site,careers@zomato.com,Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion.,2025-12-05
HR Executive,Byju's,IT Services,Lucknow,Fresher,Full Time,Hybrid,careers@byju's.com,"Manage recruitment, onboarding, and employee documentation. Support training and development initiatives. Assist in employee engagement and performance management. Maintain records of employee attendance and leave.",2026-01-17
Supply Chain Analyst,Wipro,Marketing & Advertising,Mumbai,5+ Years,Internship,Remote,careers@wipro.com,Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required.,2025-12-18
Interior Designer,Reliance Industries,Retail,Chennai,0-1 Years,Full Time,On-site,careers@relianceindustries.com,Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required.,2026-01-13
Operations Executive,L&T,Education,Pune,0-1 Years,Internship,On-site,careers@l&t.com,Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines.,2026-01-20
Accountant,Reliance Industries,Healthcare,Lucknow,Fresher,Part Time,Remote,careers@relianceindustries.com,Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required.,2026-01-18
Software Engineer,Wipro,Education,Delhi,3-5 Years,Full Time,Remote,careers@wipro.com,"Design, develop, and maintain scalable software applications. Debug, test, and optimize code for high performance. Write technical documentation and ensure proper version control. Collaborate with cross-functional teams to implement new features.",2025-12-08
Production Supervisor,Apollo Hospitals,Manufacturing,Delhi,1-3 Years,Contract,Remote,careers@apollohospitals.com,Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Support various tasks across teams as required.,2026-01-08
Interior Designer,Byju's,Logistics,Jaipur,5+ Years,Internship,Hybrid,careers@byju's.com,Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Support various tasks across teams as required.,2025-12-17
Customer Support Executive,Infosys,Manufacturing,Patna,3-5 Years,Contract,Remote,careers@infosys.com,Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required.,2025-12-30
Assistant Professor,Wipro,Manufacturing,Indore,1-3 Years,Internship,Remote,careers@wipro.com,Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Support various tasks across teams as required.,2025-11-25
Supply Chain Analyst,L&T,Banking & Finance,Patna,Fresher,Contract,On-site,careers@l&t.com,Support various tasks across teams as required. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management.,2025-11-23
Site Supervisor,Apollo Hospitals,Marketing & Advertising,Gurgaon,Fresher,Contract,On-site,careers@apollohospitals.com,Ensure safety standards and material quality. Supervise construction activities at the site. Monitor project progress and report to management. Coordinate with engineers and contractors.,2025-11-26
Software Engineer,Amazon India,Healthcare,Indore,1-3 Years,Full Time,On-site,careers@amazonindia.com,"Participate in code reviews and improve development standards. Write technical documentation and ensure proper version control. Design, develop, and maintain scalable software applications. Collaborate with cross-functional teams to implement new features.",2025-12-03
Teacher,ICICI Bank,Retail,Mumbai,Fresher,Contract,On-site,careers@icicibank.com,Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines.,2025-12-22
Digital Marketing Executive,ICICI Bank,IT Services,Nagpur,3-5 Years,Full Time,Hybrid,careers@icicibank.com,Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards.,2025-12-31
Data Analyst,Apollo Hospitals,Logistics,Gurgaon,0-1 Years,Part Time,On-site,careers@apollohospitals.com,Implement data cleaning and transformation pipelines. Analyze large datasets to extract actionable insights. Ensure data accuracy and maintain database integrity. Create dashboards and reports to support business decisions.,2025-12-06
Loan Officer,L&T,Manufacturing,Indore,0-1 Years,Part Time,On-site,careers@l&t.com,Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards.,2025-11-21
Graphic Designer,Apollo Hospitals,Banking & Finance,Mumbai,3-5 Years,Full Time,Remote,careers@apollohospitals.com,Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines.,2025-12-12
UI/UX Designer,Tata Group,IT Services,Gurgaon,1-3 Years,Contract,On-site,careers@tatagroup.com,Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Support various tasks across teams as required.,2026-01-01
HR Executive,Amazon India,Banking & Finance,Kolkata,5+ Years,Contract,Hybrid,careers@amazonindia.com,"Coordinate HR policies, payroll support, and compliance. Support training and development initiatives. Maintain records of employee attendance and leave. Assist in employee engagement and performance management.",2025-11-23
Accountant,Reliance Industries,Retail,Jaipur,5+ Years,Internship,Hybrid,careers@relianceindustries.com,Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management.,2025-12-31
Civil Engineer,Byju's,Education,Kolkata,3-5 Years,Part Time,On-site,careers@byju's.com,Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion.,2025-11-28
Digital Marketing Executive,Infosys,Retail,Nagpur,Fresher,Contract,Hybrid,careers@infosys.com,Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Follow company policies and maintain quality standards.,2026-01-13
Staff Nurse,Zomato,Banking & Finance,Noida,Fresher,Part Time,On-site,careers@zomato.com,Monitor patient vitals and administer medications. Communicate with patients and families about treatment plans. Provide patient care and assist doctors in clinical procedures. Maintain medical records and ensure hygiene standards.,2025-12-09
Mechanical Engineer,ICICI Bank,Retail,Nagpur,Fresher,Full Time,Remote,careers@icicibank.com,Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required.,2025-11-28
Interior Designer,Amazon India,Education,Chennai,0-1 Years,Contract,Remote,careers@amazonindia.com,Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required.,2026-01-11
Warehouse Manager,L&T,Banking & Finance,Mumbai,3-5 Years,Part Time,Hybrid,careers@l&t.com,Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Follow company policies and maintain quality standards.,2025-12-01
Site Supervisor,Infosys,Logistics,Gurgaon,1-3 Years,Contract,Hybrid,careers@infosys.com,Supervise construction activities at the site. Coordinate with engineers and contractors. Ensure safety standards and material quality. Monitor project progress and report to management.,2025-12-17
Customer Support Executive,ICICI Bank,Logistics,Hyderabad,3-5 Years,Full Time,Hybrid,careers@icicibank.com,Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required.,2026-01-17
Marketing Executive,Apollo Hospitals,Construction,Noida,5+ Years,Internship,Hybrid,careers@apollohospitals.com,Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Support various tasks across teams as required.,2025-12-25
Digital Marketing Executive,Mahindra & Mahindra,Logistics,Lucknow,Fresher,Part Time,On-site,careers@mahindra&mahindra.com,Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management. Support various tasks across teams as required.,2025-12-05
HR Executive,Byju's,Marketing & Advertising,Ahmedabad,3-5 Years,Internship,Hybrid,careers@byju's.com,"Support training and development initiatives. Manage recruitment, onboarding, and employee documentation. Coordinate HR policies, payroll support, and compliance. Maintain records of employee attendance and leave.",2025-11-21
